18-08-2025 08:24:59 | hqaz-mesdb1 | En línea | Latencia: 72.0 ms
18-08-2025 09:24:23 | hqaz-mesdb1 | En línea | Latencia: 72.0 ms
18-08-2025 09:25:24 | hqaz-mesdb1 | En línea | Latencia: 71.0 ms
18-08-2025 09:26:25 | hqaz-mesdb1 | En línea | Latencia: 72.0 ms
18-08-2025 09:27:26 | hqaz-mesdb1 | En línea | Latencia: 71.0 ms
18-08-2025 09:28:27 | hqaz-mesdb1 | En línea | Latencia: 71.0 ms
18-08-2025 09:29:28 | hqaz-mesdb1 | En línea | Latencia: 72.0 ms
18-08-2025 09:30:29 | hqaz-mesdb1 | En línea | Latencia: 92.0 ms
18-08-2025 09:31:30 | hqaz-mesdb1 | En línea | Latencia: 72.0 ms
18-08-2025 09:32:31 | hqaz-mesdb1 | En línea | Latencia: 72.0 ms
18-08-2025 09:33:32 | hqaz-mesdb1 | En línea | Latencia: 71.0 ms
18-08-2025 09:34:33 | hqaz-mesdb1 | En línea | Latencia: 71.0 ms
18-08-2025 09:35:34 | hqaz-mesdb1 | En línea | Latencia: 71.0 ms
18-08-2025 09:36:35 | hqaz-mesdb1 | En línea | Latencia: 72.0 ms
18-08-2025 09:37:47 | hqaz-mesdb1 | En línea | Latencia: 72.0 ms
18-08-2025 09:38:48 | hqaz-mesdb1 | En línea | Latencia: 71.0 ms
18-08-2025 09:39:49 | hqaz-mesdb1 | En línea | Latencia: 71.0 ms
18-08-2025 09:40:50 | hqaz-mesdb1 | En línea | Latencia: 72.0 ms
18-08-2025 09:41:51 | hqaz-mesdb1 | En línea | Latencia: 72.0 ms
18-08-2025 09:42:52 | hqaz-mesdb1 | En línea | Latencia: 72.0 ms
18-08-2025 09:43:52 | hqaz-mesdb1 | En línea | Latencia: 72.0 ms
18-08-2025 09:44:53 | hqaz-mesdb1 | En línea | Latencia: 71.0 ms
18-08-2025 09:45:54 | hqaz-mesdb1 | En línea | Latencia: 80.0 ms
18-08-2025 09:46:55 | hqaz-mesdb1 | En línea | Latencia: 72.0 ms
18-08-2025 09:47:56 | hqaz-mesdb1 | En línea | Latencia: 71.0 ms
18-08-2025 09:48:57 | hqaz-mesdb1 | En línea | Latencia: 74.0 ms
18-08-2025 09:49:58 | hqaz-mesdb1 | En línea | Latencia: 71.0 ms
18-08-2025 09:50:59 | hqaz-mesdb1 | En línea | Latencia: 71.0 ms
18-08-2025 09:52:00 | hqaz-mesdb1 | En línea | Latencia: 71.0 ms
18-08-2025 09:53:01 | hqaz-mesdb1 | En línea | Latencia: 71.0 ms
18-08-2025 09:54:02 | hqaz-mesdb1 | En línea | Latencia: 72.0 ms
18-08-2025 09:55:03 | hqaz-mesdb1 | En línea | Latencia: 72.0 ms
18-08-2025 09:56:04 | hqaz-mesdb1 | En línea | Latencia: 76.0 ms
18-08-2025 09:57:05 | hqaz-mesdb1 | En línea | Latencia: 73.0 ms
18-08-2025 09:58:06 | hqaz-mesdb1 | En línea | Latencia: 72.0 ms
18-08-2025 09:59:06 | hqaz-mesdb1 | En línea | Latencia: 72.0 ms
18-08-2025 10:00:07 | hqaz-mesdb1 | En línea | Latencia: 75.0 ms
18-08-2025 10:01:08 | hqaz-mesdb1 | En línea | Latencia: 72.0 ms
18-08-2025 10:02:09 | hqaz-mesdb1 | En línea | Latencia: 71.0 ms
18-08-2025 10:03:10 | hqaz-mesdb1 | En línea | Latencia: 72.0 ms
18-08-2025 10:04:12 | hqaz-mesdb1 | En línea | Latencia: 71.0 ms
18-08-2025 10:05:13 | hqaz-mesdb1 | En línea | Latencia: 71.0 ms
18-08-2025 10:06:14 | hqaz-mesdb1 | En línea | Latencia: 72.0 ms
18-08-2025 10:07:15 | hqaz-mesdb1 | En línea | Latencia: 73.0 ms
18-08-2025 10:08:16 | hqaz-mesdb1 | En línea | Latencia: 76.0 ms
18-08-2025 10:09:17 | hqaz-mesdb1 | En línea | Latencia: 72.0 ms
18-08-2025 10:10:19 | hqaz-mesdb1 | En línea | Latencia: 71.0 ms
18-08-2025 10:11:20 | hqaz-mesdb1 | En línea | Latencia: 107.0 ms
18-08-2025 10:12:21 | hqaz-mesdb1 | En línea | Latencia: 72.0 ms
18-08-2025 10:13:22 | hqaz-mesdb1 | En línea | Latencia: 73.0 ms
18-08-2025 10:14:23 | hqaz-mesdb1 | En línea | Latencia: 71.0 ms
18-08-2025 10:15:24 | hqaz-mesdb1 | En línea | Latencia: 80.0 ms
18-08-2025 10:16:25 | hqaz-mesdb1 | En línea | Latencia: 72.0 ms
18-08-2025 10:17:26 | hqaz-mesdb1 | En línea | Latencia: 72.0 ms
18-08-2025 10:18:27 | hqaz-mesdb1 | En línea | Latencia: 71.0 ms
18-08-2025 10:19:28 | hqaz-mesdb1 | En línea | Latencia: 73.0 ms
18-08-2025 10:20:29 | hqaz-mesdb1 | En línea | Latencia: 71.0 ms
18-08-2025 10:21:29 | hqaz-mesdb1 | En línea | Latencia: 71.0 ms
18-08-2025 10:22:31 | hqaz-mesdb1 | En línea | Latencia: 71.0 ms
18-08-2025 10:23:45 | hqaz-mesdb1 | En línea | Latencia: 71.0 ms
18-08-2025 10:24:46 | hqaz-mesdb1 | En línea | Latencia: 72.0 ms
18-08-2025 10:25:47 | hqaz-mesdb1 | En línea | Latencia: 72.0 ms
18-08-2025 10:26:48 | hqaz-mesdb1 | En línea | Latencia: 72.0 ms
18-08-2025 10:27:49 | hqaz-mesdb1 | En línea | Latencia: 71.0 ms
18-08-2025 10:28:50 | hqaz-mesdb1 | En línea | Latencia: 72.0 ms
18-08-2025 10:35:45 | hqaz-mesdb1 | En línea | Latencia: 72.0 ms
18-08-2025 10:36:46 | hqaz-mesdb1 | En línea | Latencia: 71.0 ms
18-08-2025 10:37:48 | hqaz-mesdb1 | En línea | Latencia: 72.0 ms
18-08-2025 10:38:49 | hqaz-mesdb1 | En línea | Latencia: 71.0 ms
18-08-2025 10:39:50 | hqaz-mesdb1 | En línea | Latencia: 73.0 ms
18-08-2025 10:40:51 | hqaz-mesdb1 | En línea | Latencia: 72.0 ms
18-08-2025 10:41:53 | hqaz-mesdb1 | En línea | Latencia: 71.0 ms
18-08-2025 10:42:54 | hqaz-mesdb1 | En línea | Latencia: 72.0 ms
18-08-2025 10:43:55 | hqaz-mesdb1 | En línea | Latencia: 72.0 ms
18-08-2025 10:44:56 | hqaz-mesdb1 | En línea | Latencia: 71.0 ms
18-08-2025 10:45:57 | hqaz-mesdb1 | En línea | Latencia: 71.0 ms
18-08-2025 10:47:13 | hqaz-mesdb1 | En línea | Latencia: 72.0 ms
18-08-2025 10:48:14 | hqaz-mesdb1 | En línea | Latencia: 71.0 ms
18-08-2025 10:49:15 | hqaz-mesdb1 | En línea | Latencia: 72.0 ms
18-08-2025 10:50:16 | hqaz-mesdb1 | En línea | Latencia: 71.0 ms
18-08-2025 10:51:17 | hqaz-mesdb1 | En línea | Latencia: 71.0 ms
18-08-2025 10:52:19 | hqaz-mesdb1 | En línea | Latencia: 72.0 ms
18-08-2025 10:53:20 | hqaz-mesdb1 | En línea | Latencia: 72.0 ms
18-08-2025 10:54:21 | hqaz-mesdb1 | En línea | Latencia: 72.0 ms
18-08-2025 10:55:22 | hqaz-mesdb1 | En línea | Latencia: 73.0 ms
18-08-2025 10:56:23 | hqaz-mesdb1 | En línea | Latencia: 72.0 ms
18-08-2025 10:57:25 | hqaz-mesdb1 | En línea | Latencia: 72.0 ms
18-08-2025 10:58:26 | hqaz-mesdb1 | En línea | Latencia: 71.0 ms
18-08-2025 10:59:27 | hqaz-mesdb1 | En línea | Latencia: 72.0 ms
18-08-2025 11:00:28 | hqaz-mesdb1 | En línea | Latencia: 72.0 ms
18-08-2025 11:01:30 | hqaz-mesdb1 | En línea | Latencia: 72.0 ms
18-08-2025 11:02:31 | hqaz-mesdb1 | En línea | Latencia: 72.0 ms
18-08-2025 11:03:32 | hqaz-mesdb1 | En línea | Latencia: 73.0 ms
18-08-2025 11:04:33 | hqaz-mesdb1 | En línea | Latencia: 72.0 ms
18-08-2025 11:05:34 | hqaz-mesdb1 | En línea | Latencia: 71.0 ms
18-08-2025 11:06:36 | hqaz-mesdb1 | En línea | Latencia: 71.0 ms
18-08-2025 11:07:37 | hqaz-mesdb1 | En línea | Latencia: 72.0 ms
18-08-2025 11:08:38 | hqaz-mesdb1 | En línea | Latencia: 71.0 ms
18-08-2025 11:09:39 | hqaz-mesdb1 | En línea | Latencia: 72.0 ms
18-08-2025 11:10:40 | hqaz-mesdb1 | En línea | Latencia: 72.0 ms
18-08-2025 11:11:42 | hqaz-mesdb1 | En línea | Latencia: 71.0 ms
18-08-2025 11:12:43 | hqaz-mesdb1 | En línea | Latencia: 72.0 ms
18-08-2025 11:13:58 | hqaz-mesdb1 | En línea | Latencia: 71.0 ms
18-08-2025 11:14:59 | hqaz-mesdb1 | En línea | Latencia: 71.0 ms
18-08-2025 11:16:01 | hqaz-mesdb1 | En línea | Latencia: 71.0 ms
18-08-2025 11:17:02 | hqaz-mesdb1 | En línea | Latencia: 72.0 ms
18-08-2025 11:18:03 | hqaz-mesdb1 | En línea | Latencia: 72.0 ms
18-08-2025 11:19:04 | hqaz-mesdb1 | En línea | Latencia: 71.0 ms
18-08-2025 11:20:05 | hqaz-mesdb1 | En línea | Latencia: 71.0 ms
18-08-2025 11:21:06 | hqaz-mesdb1 | En línea | Latencia: 72.0 ms
18-08-2025 11:22:07 | hqaz-mesdb1 | En línea | Latencia: 71.0 ms
18-08-2025 11:23:08 | hqaz-mesdb1 | En línea | Latencia: 73.0 ms
18-08-2025 11:24:09 | hqaz-mesdb1 | En línea | Latencia: 71.0 ms
18-08-2025 11:25:09 | hqaz-mesdb1 | En línea | Latencia: 71.0 ms
18-08-2025 11:26:10 | hqaz-mesdb1 | En línea | Latencia: 71.0 ms
18-08-2025 11:27:11 | hqaz-mesdb1 | En línea | Latencia: 73.0 ms
18-08-2025 12:26:39 | hqaz-mesdb1 | En línea | Latencia: 72.0 ms
18-08-2025 12:27:39 | hqaz-mesdb1 | En línea | Latencia: 72.0 ms
18-08-2025 12:28:40 | hqaz-mesdb1 | En línea | Latencia: 72.0 ms
18-08-2025 12:29:41 | hqaz-mesdb1 | En línea | Latencia: 72.0 ms
18-08-2025 12:30:42 | hqaz-mesdb1 | En línea | Latencia: 78.0 ms
18-08-2025 12:31:42 | hqaz-mesdb1 | En línea | Latencia: 72.0 ms
18-08-2025 12:32:43 | hqaz-mesdb1 | En línea | Latencia: 72.0 ms
18-08-2025 12:33:44 | hqaz-mesdb1 | En línea | Latencia: 72.0 ms
18-08-2025 12:34:45 | hqaz-mesdb1 | En línea | Latencia: 72.0 ms
18-08-2025 12:35:45 | hqaz-mesdb1 | En línea | Latencia: 72.0 ms
18-08-2025 12:36:46 | hqaz-mesdb1 | En línea | Latencia: 72.0 ms
18-08-2025 12:37:47 | hqaz-mesdb1 | En línea | Latencia: 72.0 ms
18-08-2025 12:38:48 | hqaz-mesdb1 | En línea | Latencia: 72.0 ms
18-08-2025 12:39:48 | hqaz-mesdb1 | En línea | Latencia: 72.0 ms
18-08-2025 12:40:49 | hqaz-mesdb1 | En línea | Latencia: 72.0 ms
18-08-2025 12:41:50 | hqaz-mesdb1 | En línea | Latencia: 72.0 ms
18-08-2025 12:42:51 | hqaz-mesdb1 | En línea | Latencia: 72.0 ms
18-08-2025 12:43:51 | hqaz-mesdb1 | En línea | Latencia: 72.0 ms
18-08-2025 12:44:52 | hqaz-mesdb1 | En línea | Latencia: 72.0 ms
18-08-2025 12:45:53 | hqaz-mesdb1 | En línea | Latencia: 72.0 ms
18-08-2025 12:46:54 | hqaz-mesdb1 | En línea | Latencia: 72.0 ms
18-08-2025 12:47:55 | hqaz-mesdb1 | En línea | Latencia: 72.0 ms
18-08-2025 12:48:56 | hqaz-mesdb1 | En línea | Latencia: 72.0 ms
18-08-2025 12:49:57 | hqaz-mesdb1 | En línea | Latencia: 72.0 ms
18-08-2025 12:50:57 | hqaz-mesdb1 | En línea | Latencia: 72.0 ms
18-08-2025 12:51:58 | hqaz-mesdb1 | En línea | Latencia: 74.0 ms
18-08-2025 12:52:59 | hqaz-mesdb1 | En línea | Latencia: 72.0 ms
18-08-2025 12:54:00 | hqaz-mesdb1 | En línea | Latencia: 71.0 ms
18-08-2025 12:55:01 | hqaz-mesdb1 | En línea | Latencia: 72.0 ms
18-08-2025 12:56:02 | hqaz-mesdb1 | En línea | Latencia: 74.0 ms
18-08-2025 12:57:03 | hqaz-mesdb1 | En línea | Latencia: 72.0 ms
18-08-2025 12:58:03 | hqaz-mesdb1 | En línea | Latencia: 72.0 ms
18-08-2025 12:59:04 | hqaz-mesdb1 | En línea | Latencia: 72.0 ms
18-08-2025 13:00:05 | hqaz-mesdb1 | En línea | Latencia: 71.0 ms
18-08-2025 13:01:06 | hqaz-mesdb1 | En línea | Latencia: 72.0 ms
18-08-2025 13:02:07 | hqaz-mesdb1 | En línea | Latencia: 71.0 ms
18-08-2025 13:03:07 | hqaz-mesdb1 | En línea | Latencia: 72.0 ms
18-08-2025 13:04:08 | hqaz-mesdb1 | En línea | Latencia: 73.0 ms
18-08-2025 13:05:09 | hqaz-mesdb1 | En línea | Latencia: 74.0 ms
18-08-2025 13:06:10 | hqaz-mesdb1 | En línea | Latencia: 72.0 ms
18-08-2025 13:07:10 | hqaz-mesdb1 | En línea | Latencia: 72.0 ms
18-08-2025 13:08:11 | hqaz-mesdb1 | En línea | Latencia: 72.0 ms
18-08-2025 13:09:12 | hqaz-mesdb1 | En línea | Latencia: 72.0 ms
18-08-2025 13:10:13 | hqaz-mesdb1 | En línea | Latencia: 72.0 ms
18-08-2025 13:11:13 | hqaz-mesdb1 | En línea | Latencia: 72.0 ms
18-08-2025 13:12:14 | hqaz-mesdb1 | En línea | Latencia: 72.0 ms
18-08-2025 13:13:15 | hqaz-mesdb1 | En línea | Latencia: 72.0 ms
18-08-2025 13:14:16 | hqaz-mesdb1 | En línea | Latencia: 72.0 ms
18-08-2025 13:15:16 | hqaz-mesdb1 | En línea | Latencia: 72.0 ms
18-08-2025 13:16:17 | hqaz-mesdb1 | En línea | Latencia: 72.0 ms
19-08-2025 11:22:14 | hqaz-mesdb1 | En línea | Latencia: 75.0 ms
19-08-2025 11:25:17 | hqaz-mesdb1 | En línea | Latencia: 74.0 ms
19-08-2025 11:26:50 | hqaz-mesdb1 | En línea | Latencia: 74.0 ms
19-08-2025 11:28:42 | hqaz-mesdb1 | En línea | Latencia: 74.0 ms
19-08-2025 11:31:37 | hqaz-mesdb1 | En línea | Latencia: 74.0 ms
19-08-2025 11:32:00 | hqaz-mesdb1 | En línea | Latencia: 73.0 ms
19-08-2025 11:39:29 | hqaz-mesdb1 | En línea | Latencia: 75.0 ms
19-08-2025 11:40:33 | hqaz-mesdb1 | En línea | Latencia: 74.0 ms
19-08-2025 11:41:37 | hqaz-mesdb1 | En línea | Latencia: 74.0 ms
19-08-2025 11:42:41 | hqaz-mesdb1 | En línea | Latencia: 74.0 ms
19-08-2025 11:43:45 | hqaz-mesdb1 | En línea | Latencia: 74.0 ms
19-08-2025 11:44:50 | hqaz-mesdb1 | En línea | Latencia: 72.0 ms
19-08-2025 11:45:54 | hqaz-mesdb1 | En línea | Latencia: 73.0 ms
19-08-2025 11:46:58 | hqaz-mesdb1 | En línea | Latencia: 73.0 ms
19-08-2025 11:48:02 | hqaz-mesdb1 | En línea | Latencia: 74.0 ms
19-08-2025 11:49:07 | hqaz-mesdb1 | En línea | Latencia: 73.0 ms
19-08-2025 11:50:12 | hqaz-mesdb1 | En línea | Latencia: 73.0 ms
19-08-2025 11:51:17 | hqaz-mesdb1 | En línea | Latencia: 75.0 ms
19-08-2025 11:52:21 | hqaz-mesdb1 | En línea | Latencia: 73.0 ms
19-08-2025 12:33:05 | hqaz-mesdb1 | En línea | Latencia: 74.0 ms
19-08-2025 12:39:23 | hqaz-mesdb1 | En línea | Latencia: 73.0 ms
19-08-2025 12:40:29 | hqaz-mesdb1 | En línea | Latencia: 73.0 ms
19-08-2025 12:41:59 | hqaz-mesdb1 | En línea | Latencia: 73.0 ms
