18-08-2025 08:24:59 | viaz-merweb1 | En línea | Latencia: 71.0 ms
18-08-2025 08:56:58 | viaz-merweb1 | En línea | Latencia: 71.0 ms
18-08-2025 08:57:59 | viaz-merweb1 | En línea | Latencia: 71.0 ms
18-08-2025 08:58:59 | viaz-merweb1 | En línea | Latencia: 71.0 ms
18-08-2025 09:00:00 | viaz-merweb1 | En línea | Latencia: 71.0 ms
18-08-2025 09:01:02 | viaz-merweb1 | En línea | Latencia: 71.0 ms
18-08-2025 09:02:02 | viaz-merweb1 | En línea | Latencia: 71.0 ms
18-08-2025 09:03:03 | viaz-merweb1 | En línea | Latencia: 71.0 ms
18-08-2025 09:04:04 | viaz-merweb1 | En línea | Latencia: 71.0 ms
18-08-2025 09:05:05 | viaz-merweb1 | En línea | Latencia: 73.0 ms
18-08-2025 09:06:06 | viaz-merweb1 | En línea | Latencia: 71.0 ms
18-08-2025 09:07:07 | viaz-merweb1 | En línea | Latencia: 74.0 ms
18-08-2025 09:08:08 | viaz-merweb1 | En línea | Latencia: 71.0 ms
18-08-2025 09:09:09 | viaz-merweb1 | En línea | Latencia: 71.0 ms
18-08-2025 09:10:10 | viaz-merweb1 | En línea | Latencia: 71.0 ms
18-08-2025 09:11:11 | viaz-merweb1 | En línea | Latencia: 71.0 ms
18-08-2025 09:12:12 | viaz-merweb1 | En línea | Latencia: 74.0 ms
18-08-2025 09:13:13 | viaz-merweb1 | En línea | Latencia: 71.0 ms
18-08-2025 09:14:14 | viaz-merweb1 | En línea | Latencia: 71.0 ms
18-08-2025 09:15:15 | viaz-merweb1 | En línea | Latencia: 89.0 ms
18-08-2025 09:16:16 | viaz-merweb1 | En línea | Latencia: 72.0 ms
18-08-2025 09:17:16 | viaz-merweb1 | En línea | Latencia: 72.0 ms
18-08-2025 09:18:17 | viaz-merweb1 | En línea | Latencia: 71.0 ms
18-08-2025 09:19:18 | viaz-merweb1 | En línea | Latencia: 71.0 ms
18-08-2025 09:20:19 | viaz-merweb1 | En línea | Latencia: 71.0 ms
18-08-2025 09:21:20 | viaz-merweb1 | En línea | Latencia: 76.0 ms
18-08-2025 09:22:21 | viaz-merweb1 | En línea | Latencia: 75.0 ms
18-08-2025 09:23:22 | viaz-merweb1 | En línea | Latencia: 71.0 ms
18-08-2025 09:24:23 | viaz-merweb1 | En línea | Latencia: 71.0 ms
18-08-2025 09:25:24 | viaz-merweb1 | En línea | Latencia: 71.0 ms
18-08-2025 09:26:25 | viaz-merweb1 | En línea | Latencia: 72.0 ms
18-08-2025 09:27:26 | viaz-merweb1 | En línea | Latencia: 71.0 ms
18-08-2025 09:28:27 | viaz-merweb1 | En línea | Latencia: 71.0 ms
18-08-2025 09:29:28 | viaz-merweb1 | En línea | Latencia: 71.0 ms
18-08-2025 09:30:29 | viaz-merweb1 | En línea | Latencia: 71.0 ms
18-08-2025 09:31:30 | viaz-merweb1 | En línea | Latencia: 72.0 ms
18-08-2025 09:32:31 | viaz-merweb1 | En línea | Latencia: 71.0 ms
18-08-2025 09:33:32 | viaz-merweb1 | En línea | Latencia: 71.0 ms
18-08-2025 09:34:33 | viaz-merweb1 | En línea | Latencia: 71.0 ms
18-08-2025 09:35:34 | viaz-merweb1 | En línea | Latencia: 71.0 ms
18-08-2025 09:36:35 | viaz-merweb1 | En línea | Latencia: 275.0 ms
18-08-2025 09:37:47 | viaz-merweb1 | En línea | Latencia: 72.0 ms
18-08-2025 09:38:48 | viaz-merweb1 | En línea | Latencia: 72.0 ms
18-08-2025 09:39:49 | viaz-merweb1 | En línea | Latencia: 71.0 ms
18-08-2025 09:40:50 | viaz-merweb1 | En línea | Latencia: 72.0 ms
18-08-2025 09:41:51 | viaz-merweb1 | En línea | Latencia: 71.0 ms
18-08-2025 09:42:52 | viaz-merweb1 | En línea | Latencia: 72.0 ms
18-08-2025 09:43:52 | viaz-merweb1 | En línea | Latencia: 71.0 ms
18-08-2025 09:44:53 | viaz-merweb1 | En línea | Latencia: 71.0 ms
18-08-2025 09:45:54 | viaz-merweb1 | En línea | Latencia: 77.0 ms
18-08-2025 09:46:55 | viaz-merweb1 | En línea | Latencia: 71.0 ms
18-08-2025 09:47:56 | viaz-merweb1 | En línea | Latencia: 71.0 ms
18-08-2025 09:48:57 | viaz-merweb1 | En línea | Latencia: 72.0 ms
18-08-2025 09:49:58 | viaz-merweb1 | En línea | Latencia: 72.0 ms
18-08-2025 09:50:59 | viaz-merweb1 | En línea | Latencia: 72.0 ms
18-08-2025 09:52:00 | viaz-merweb1 | En línea | Latencia: 78.0 ms
18-08-2025 09:53:01 | viaz-merweb1 | En línea | Latencia: 71.0 ms
18-08-2025 09:54:02 | viaz-merweb1 | En línea | Latencia: 71.0 ms
18-08-2025 09:55:03 | viaz-merweb1 | En línea | Latencia: 71.0 ms
18-08-2025 09:56:04 | viaz-merweb1 | En línea | Latencia: 72.0 ms
18-08-2025 09:57:05 | viaz-merweb1 | En línea | Latencia: 72.0 ms
18-08-2025 09:58:06 | viaz-merweb1 | En línea | Latencia: 71.0 ms
18-08-2025 09:59:06 | viaz-merweb1 | En línea | Latencia: 72.0 ms
18-08-2025 10:00:07 | viaz-merweb1 | En línea | Latencia: 75.0 ms
18-08-2025 10:01:08 | viaz-merweb1 | En línea | Latencia: 72.0 ms
18-08-2025 10:02:09 | viaz-merweb1 | En línea | Latencia: 72.0 ms
18-08-2025 10:03:10 | viaz-merweb1 | En línea | Latencia: 71.0 ms
18-08-2025 10:04:12 | viaz-merweb1 | En línea | Latencia: 72.0 ms
18-08-2025 10:05:13 | viaz-merweb1 | En línea | Latencia: 71.0 ms
18-08-2025 10:06:14 | viaz-merweb1 | En línea | Latencia: 71.0 ms
18-08-2025 10:07:15 | viaz-merweb1 | En línea | Latencia: 71.0 ms
18-08-2025 10:08:16 | viaz-merweb1 | En línea | Latencia: 71.0 ms
18-08-2025 10:09:17 | viaz-merweb1 | En línea | Latencia: 72.0 ms
18-08-2025 10:10:19 | viaz-merweb1 | En línea | Latencia: 71.0 ms
18-08-2025 10:11:20 | viaz-merweb1 | En línea | Latencia: 71.0 ms
18-08-2025 10:12:21 | viaz-merweb1 | En línea | Latencia: 72.0 ms
18-08-2025 10:13:22 | viaz-merweb1 | En línea | Latencia: 71.0 ms
18-08-2025 10:14:23 | viaz-merweb1 | En línea | Latencia: 71.0 ms
18-08-2025 10:15:24 | viaz-merweb1 | En línea | Latencia: 71.0 ms
18-08-2025 10:16:25 | viaz-merweb1 | En línea | Latencia: 71.0 ms
18-08-2025 10:17:26 | viaz-merweb1 | En línea | Latencia: 76.0 ms
18-08-2025 10:18:27 | viaz-merweb1 | En línea | Latencia: 71.0 ms
18-08-2025 10:19:28 | viaz-merweb1 | En línea | Latencia: 71.0 ms
18-08-2025 10:20:29 | viaz-merweb1 | En línea | Latencia: 72.0 ms
18-08-2025 10:21:29 | viaz-merweb1 | En línea | Latencia: 72.0 ms
18-08-2025 10:22:31 | viaz-merweb1 | En línea | Latencia: 71.0 ms
18-08-2025 10:23:45 | viaz-merweb1 | En línea | Latencia: 71.0 ms
18-08-2025 10:24:46 | viaz-merweb1 | En línea | Latencia: 71.0 ms
18-08-2025 10:25:47 | viaz-merweb1 | En línea | Latencia: 72.0 ms
18-08-2025 10:26:48 | viaz-merweb1 | En línea | Latencia: 71.0 ms
18-08-2025 10:27:49 | viaz-merweb1 | En línea | Latencia: 71.0 ms
18-08-2025 10:28:50 | viaz-merweb1 | En línea | Latencia: 72.0 ms
18-08-2025 10:29:51 | viaz-merweb1 | En línea | Latencia: 73.0 ms
18-08-2025 10:35:45 | viaz-merweb1 | En línea | Latencia: 71.0 ms
18-08-2025 10:36:46 | viaz-merweb1 | En línea | Latencia: 71.0 ms
18-08-2025 10:37:48 | viaz-merweb1 | En línea | Latencia: 71.0 ms
18-08-2025 10:38:49 | viaz-merweb1 | En línea | Latencia: 75.0 ms
18-08-2025 10:39:50 | viaz-merweb1 | En línea | Latencia: 71.0 ms
18-08-2025 10:40:51 | viaz-merweb1 | En línea | Latencia: 71.0 ms
18-08-2025 10:41:53 | viaz-merweb1 | En línea | Latencia: 72.0 ms
18-08-2025 10:42:54 | viaz-merweb1 | En línea | Latencia: 72.0 ms
18-08-2025 10:43:55 | viaz-merweb1 | En línea | Latencia: 72.0 ms
18-08-2025 10:44:56 | viaz-merweb1 | En línea | Latencia: 71.0 ms
18-08-2025 10:45:57 | viaz-merweb1 | En línea | Latencia: 71.0 ms
18-08-2025 10:47:13 | viaz-merweb1 | En línea | Latencia: 71.0 ms
18-08-2025 10:48:14 | viaz-merweb1 | En línea | Latencia: 71.0 ms
18-08-2025 10:49:15 | viaz-merweb1 | En línea | Latencia: 71.0 ms
18-08-2025 10:50:16 | viaz-merweb1 | En línea | Latencia: 71.0 ms
18-08-2025 10:51:17 | viaz-merweb1 | En línea | Latencia: 71.0 ms
18-08-2025 10:52:19 | viaz-merweb1 | En línea | Latencia: 71.0 ms
18-08-2025 10:53:20 | viaz-merweb1 | En línea | Latencia: 72.0 ms
18-08-2025 10:54:21 | viaz-merweb1 | En línea | Latencia: 72.0 ms
18-08-2025 10:55:22 | viaz-merweb1 | En línea | Latencia: 71.0 ms
18-08-2025 10:56:23 | viaz-merweb1 | En línea | Latencia: 71.0 ms
18-08-2025 10:57:25 | viaz-merweb1 | En línea | Latencia: 71.0 ms
18-08-2025 10:58:26 | viaz-merweb1 | En línea | Latencia: 72.0 ms
18-08-2025 10:59:27 | viaz-merweb1 | En línea | Latencia: 71.0 ms
18-08-2025 11:00:28 | viaz-merweb1 | En línea | Latencia: 71.0 ms
18-08-2025 11:01:30 | viaz-merweb1 | En línea | Latencia: 71.0 ms
18-08-2025 11:02:31 | viaz-merweb1 | En línea | Latencia: 72.0 ms
18-08-2025 11:03:32 | viaz-merweb1 | En línea | Latencia: 84.0 ms
18-08-2025 11:04:33 | viaz-merweb1 | En línea | Latencia: 71.0 ms
18-08-2025 11:05:34 | viaz-merweb1 | En línea | Latencia: 79.0 ms
18-08-2025 11:06:36 | viaz-merweb1 | En línea | Latencia: 99.0 ms
18-08-2025 11:07:37 | viaz-merweb1 | En línea | Latencia: 72.0 ms
18-08-2025 11:08:38 | viaz-merweb1 | En línea | Latencia: 71.0 ms
18-08-2025 11:09:39 | viaz-merweb1 | En línea | Latencia: 71.0 ms
18-08-2025 11:10:40 | viaz-merweb1 | En línea | Latencia: 72.0 ms
18-08-2025 11:11:42 | viaz-merweb1 | En línea | Latencia: 71.0 ms
18-08-2025 11:12:43 | viaz-merweb1 | En línea | Latencia: 71.0 ms
18-08-2025 11:13:58 | viaz-merweb1 | En línea | Latencia: 72.0 ms
18-08-2025 11:14:59 | viaz-merweb1 | En línea | Latencia: 72.0 ms
18-08-2025 11:16:01 | viaz-merweb1 | En línea | Latencia: 71.0 ms
18-08-2025 11:17:02 | viaz-merweb1 | En línea | Latencia: 71.0 ms
18-08-2025 11:18:03 | viaz-merweb1 | En línea | Latencia: 71.0 ms
18-08-2025 11:19:04 | viaz-merweb1 | En línea | Latencia: 72.0 ms
18-08-2025 11:20:05 | viaz-merweb1 | En línea | Latencia: 71.0 ms
18-08-2025 11:21:06 | viaz-merweb1 | En línea | Latencia: 71.0 ms
18-08-2025 11:22:07 | viaz-merweb1 | En línea | Latencia: 71.0 ms
18-08-2025 11:23:08 | viaz-merweb1 | En línea | Latencia: 74.0 ms
18-08-2025 11:24:09 | viaz-merweb1 | En línea | Latencia: 72.0 ms
18-08-2025 11:25:09 | viaz-merweb1 | En línea | Latencia: 72.0 ms
18-08-2025 11:26:10 | viaz-merweb1 | En línea | Latencia: 78.0 ms
18-08-2025 11:27:11 | viaz-merweb1 | En línea | Latencia: 80.0 ms
18-08-2025 11:28:12 | viaz-merweb1 | En línea | Latencia: 71.0 ms
18-08-2025 12:26:39 | viaz-merweb1 | En línea | Latencia: 71.0 ms
18-08-2025 12:27:39 | viaz-merweb1 | En línea | Latencia: 72.0 ms
18-08-2025 12:28:40 | viaz-merweb1 | En línea | Latencia: 77.0 ms
18-08-2025 12:29:41 | viaz-merweb1 | En línea | Latencia: 72.0 ms
18-08-2025 12:30:42 | viaz-merweb1 | En línea | Latencia: 71.0 ms
18-08-2025 12:31:42 | viaz-merweb1 | En línea | Latencia: 78.0 ms
18-08-2025 12:32:43 | viaz-merweb1 | En línea | Latencia: 72.0 ms
18-08-2025 12:33:44 | viaz-merweb1 | En línea | Latencia: 78.0 ms
18-08-2025 12:34:45 | viaz-merweb1 | En línea | Latencia: 71.0 ms
18-08-2025 12:35:45 | viaz-merweb1 | En línea | Latencia: 72.0 ms
18-08-2025 12:36:46 | viaz-merweb1 | En línea | Latencia: 72.0 ms
18-08-2025 12:37:47 | viaz-merweb1 | En línea | Latencia: 72.0 ms
18-08-2025 12:38:48 | viaz-merweb1 | En línea | Latencia: 71.0 ms
18-08-2025 12:39:48 | viaz-merweb1 | En línea | Latencia: 72.0 ms
18-08-2025 12:40:49 | viaz-merweb1 | En línea | Latencia: 74.0 ms
18-08-2025 12:41:50 | viaz-merweb1 | En línea | Latencia: 72.0 ms
18-08-2025 12:42:51 | viaz-merweb1 | En línea | Latencia: 71.0 ms
18-08-2025 12:43:51 | viaz-merweb1 | En línea | Latencia: 71.0 ms
18-08-2025 12:44:52 | viaz-merweb1 | En línea | Latencia: 71.0 ms
18-08-2025 12:45:53 | viaz-merweb1 | En línea | Latencia: 71.0 ms
18-08-2025 12:46:54 | viaz-merweb1 | En línea | Latencia: 72.0 ms
18-08-2025 12:47:55 | viaz-merweb1 | En línea | Latencia: 71.0 ms
18-08-2025 12:48:56 | viaz-merweb1 | En línea | Latencia: 72.0 ms
18-08-2025 12:49:57 | viaz-merweb1 | En línea | Latencia: 72.0 ms
18-08-2025 12:50:57 | viaz-merweb1 | En línea | Latencia: 72.0 ms
18-08-2025 12:51:58 | viaz-merweb1 | En línea | Latencia: 72.0 ms
18-08-2025 12:52:59 | viaz-merweb1 | En línea | Latencia: 71.0 ms
18-08-2025 12:54:00 | viaz-merweb1 | En línea | Latencia: 72.0 ms
18-08-2025 12:55:01 | viaz-merweb1 | En línea | Latencia: 72.0 ms
18-08-2025 12:56:02 | viaz-merweb1 | En línea | Latencia: 72.0 ms
18-08-2025 12:57:03 | viaz-merweb1 | En línea | Latencia: 72.0 ms
18-08-2025 12:58:03 | viaz-merweb1 | En línea | Latencia: 72.0 ms
18-08-2025 12:59:04 | viaz-merweb1 | En línea | Latencia: 72.0 ms
18-08-2025 13:00:05 | viaz-merweb1 | En línea | Latencia: 73.0 ms
18-08-2025 13:01:06 | viaz-merweb1 | En línea | Latencia: 71.0 ms
18-08-2025 13:02:07 | viaz-merweb1 | En línea | Latencia: 72.0 ms
18-08-2025 13:03:07 | viaz-merweb1 | En línea | Latencia: 72.0 ms
18-08-2025 13:04:08 | viaz-merweb1 | En línea | Latencia: 72.0 ms
18-08-2025 13:05:09 | viaz-merweb1 | En línea | Latencia: 74.0 ms
18-08-2025 13:06:10 | viaz-merweb1 | En línea | Latencia: 73.0 ms
18-08-2025 13:07:10 | viaz-merweb1 | En línea | Latencia: 72.0 ms
18-08-2025 13:08:11 | viaz-merweb1 | En línea | Latencia: 72.0 ms
18-08-2025 13:09:12 | viaz-merweb1 | En línea | Latencia: 72.0 ms
18-08-2025 13:10:13 | viaz-merweb1 | En línea | Latencia: 72.0 ms
18-08-2025 13:11:13 | viaz-merweb1 | En línea | Latencia: 71.0 ms
18-08-2025 13:12:14 | viaz-merweb1 | En línea | Latencia: 72.0 ms
18-08-2025 13:13:15 | viaz-merweb1 | En línea | Latencia: 71.0 ms
18-08-2025 13:14:16 | viaz-merweb1 | En línea | Latencia: 71.0 ms
18-08-2025 13:15:16 | viaz-merweb1 | En línea | Latencia: 72.0 ms
18-08-2025 13:16:17 | viaz-merweb1 | En línea | Latencia: 72.0 ms
19-08-2025 11:22:14 | viaz-merweb1 | En línea | Latencia: 73.0 ms
19-08-2025 11:25:17 | viaz-merweb1 | En línea | Latencia: 74.0 ms
19-08-2025 11:26:50 | viaz-merweb1 | En línea | Latencia: 74.0 ms
19-08-2025 11:28:42 | viaz-merweb1 | En línea | Latencia: 73.0 ms
19-08-2025 11:31:37 | viaz-merweb1 | En línea | Latencia: 73.0 ms
19-08-2025 11:32:00 | viaz-merweb1 | En línea | Latencia: 73.0 ms
19-08-2025 11:39:29 | viaz-merweb1 | En línea | Latencia: 84.0 ms
19-08-2025 11:40:33 | viaz-merweb1 | En línea | Latencia: 73.0 ms
19-08-2025 11:41:37 | viaz-merweb1 | En línea | Latencia: 73.0 ms
19-08-2025 11:42:41 | viaz-merweb1 | En línea | Latencia: 73.0 ms
19-08-2025 11:43:45 | viaz-merweb1 | En línea | Latencia: 73.0 ms
19-08-2025 11:44:50 | viaz-merweb1 | En línea | Latencia: 75.0 ms
19-08-2025 11:45:54 | viaz-merweb1 | En línea | Latencia: 75.0 ms
19-08-2025 11:46:58 | viaz-merweb1 | En línea | Latencia: 75.0 ms
19-08-2025 11:48:02 | viaz-merweb1 | En línea | Latencia: 73.0 ms
19-08-2025 11:49:07 | viaz-merweb1 | En línea | Latencia: 73.0 ms
19-08-2025 11:50:12 | viaz-merweb1 | En línea | Latencia: 74.0 ms
19-08-2025 11:51:17 | viaz-merweb1 | En línea | Latencia: 74.0 ms
19-08-2025 11:52:21 | viaz-merweb1 | En línea | Latencia: 73.0 ms
19-08-2025 12:33:05 | viaz-merweb1 | En línea | Latencia: 73.0 ms
19-08-2025 12:39:23 | viaz-merweb1 | En línea | Latencia: 74.0 ms
19-08-2025 12:40:29 | viaz-merweb1 | En línea | Latencia: 73.0 ms
