11-08-2025 08:35:13 | hqaz-merwebprd1 | En línea | Latencia: 72.0 ms
11-08-2025 09:15:51 | hqaz-merwebprd1 | En línea | Latencia: 73.0 ms
11-08-2025 09:16:52 | hqaz-merwebprd1 | En línea | Latencia: 72.0 ms
11-08-2025 09:17:53 | hqaz-merwebprd1 | En línea | Latencia: 73.0 ms
11-08-2025 09:18:54 | hqaz-merwebprd1 | En línea | Latencia: 73.0 ms
11-08-2025 09:19:55 | hqaz-merwebprd1 | En línea | Latencia: 72.0 ms
11-08-2025 09:20:56 | hqaz-merwebprd1 | En línea | Latencia: 73.0 ms
11-08-2025 09:21:57 | hqaz-merwebprd1 | En línea | Latencia: 76.0 ms
11-08-2025 09:22:58 | hqaz-merwebprd1 | En línea | Latencia: 73.0 ms
11-08-2025 09:23:59 | hqaz-merwebprd1 | En línea | Latencia: 73.0 ms
11-08-2025 09:24:59 | hqaz-merwebprd1 | En línea | Latencia: 73.0 ms
11-08-2025 09:26:00 | hqaz-merwebprd1 | En línea | Latencia: 73.0 ms
11-08-2025 09:27:01 | hqaz-merwebprd1 | En línea | Latencia: 74.0 ms
11-08-2025 09:28:02 | hqaz-merwebprd1 | En línea | Latencia: 73.0 ms
11-08-2025 09:29:03 | hqaz-merwebprd1 | En línea | Latencia: 74.0 ms
11-08-2025 09:30:04 | hqaz-merwebprd1 | En línea | Latencia: 73.0 ms
11-08-2025 09:31:05 | hqaz-merwebprd1 | En línea | Latencia: 73.0 ms
11-08-2025 09:32:06 | hqaz-merwebprd1 | En línea | Latencia: 77.0 ms
11-08-2025 09:33:07 | hqaz-merwebprd1 | En línea | Latencia: 73.0 ms
11-08-2025 09:34:08 | hqaz-merwebprd1 | En línea | Latencia: 73.0 ms
11-08-2025 09:35:09 | hqaz-merwebprd1 | En línea | Latencia: 89.0 ms
11-08-2025 09:36:10 | hqaz-merwebprd1 | En línea | Latencia: 73.0 ms
11-08-2025 09:37:11 | hqaz-merwebprd1 | En línea | Latencia: 94.0 ms
11-08-2025 09:38:12 | hqaz-merwebprd1 | En línea | Latencia: 82.0 ms
11-08-2025 09:39:12 | hqaz-merwebprd1 | En línea | Latencia: 73.0 ms
11-08-2025 09:40:13 | hqaz-merwebprd1 | En línea | Latencia: 73.0 ms
11-08-2025 09:41:14 | hqaz-merwebprd1 | En línea | Latencia: 73.0 ms
11-08-2025 09:42:15 | hqaz-merwebprd1 | En línea | Latencia: 74.0 ms
11-08-2025 09:43:16 | hqaz-merwebprd1 | En línea | Latencia: 151.0 ms
11-08-2025 09:44:33 | hqaz-merwebprd1 | En línea | Latencia: 73.0 ms
11-08-2025 09:45:33 | hqaz-merwebprd1 | En línea | Latencia: 73.0 ms
11-08-2025 09:46:34 | hqaz-merwebprd1 | En línea | Latencia: 73.0 ms
11-08-2025 09:47:35 | hqaz-merwebprd1 | En línea | Latencia: 84.0 ms
11-08-2025 09:48:36 | hqaz-merwebprd1 | En línea | Latencia: 72.0 ms
11-08-2025 09:49:37 | hqaz-merwebprd1 | En línea | Latencia: 85.0 ms
11-08-2025 09:50:38 | hqaz-merwebprd1 | En línea | Latencia: 76.0 ms
11-08-2025 09:51:39 | hqaz-merwebprd1 | En línea | Latencia: 73.0 ms
11-08-2025 09:52:40 | hqaz-merwebprd1 | En línea | Latencia: 73.0 ms
11-08-2025 09:53:41 | hqaz-merwebprd1 | En línea | Latencia: 73.0 ms
11-08-2025 09:54:41 | hqaz-merwebprd1 | En línea | Latencia: 86.0 ms
11-08-2025 09:55:42 | hqaz-merwebprd1 | En línea | Latencia: 76.0 ms
11-08-2025 09:56:43 | hqaz-merwebprd1 | En línea | Latencia: 72.0 ms
11-08-2025 09:57:44 | hqaz-merwebprd1 | En línea | Latencia: 75.0 ms
11-08-2025 09:58:45 | hqaz-merwebprd1 | En línea | Latencia: 73.0 ms
11-08-2025 09:59:46 | hqaz-merwebprd1 | En línea | Latencia: 73.0 ms
11-08-2025 10:00:47 | hqaz-merwebprd1 | En línea | Latencia: 73.0 ms
11-08-2025 10:01:48 | hqaz-merwebprd1 | En línea | Latencia: 73.0 ms
11-08-2025 10:02:49 | hqaz-merwebprd1 | En línea | Latencia: 73.0 ms
11-08-2025 10:03:49 | hqaz-merwebprd1 | En línea | Latencia: 73.0 ms
11-08-2025 10:04:50 | hqaz-merwebprd1 | En línea | Latencia: 73.0 ms
11-08-2025 10:05:51 | hqaz-merwebprd1 | En línea | Latencia: 72.0 ms
11-08-2025 10:06:52 | hqaz-merwebprd1 | En línea | Latencia: 94.0 ms
11-08-2025 10:07:53 | hqaz-merwebprd1 | En línea | Latencia: 73.0 ms
11-08-2025 10:08:54 | hqaz-merwebprd1 | En línea | Latencia: 73.0 ms
11-08-2025 10:09:55 | hqaz-merwebprd1 | En línea | Latencia: 73.0 ms
11-08-2025 10:10:56 | hqaz-merwebprd1 | En línea | Latencia: 73.0 ms
11-08-2025 10:11:57 | hqaz-merwebprd1 | En línea | Latencia: 73.0 ms
11-08-2025 10:12:58 | hqaz-merwebprd1 | En línea | Latencia: 73.0 ms
11-08-2025 10:13:58 | hqaz-merwebprd1 | En línea | Latencia: 72.0 ms
11-08-2025 10:14:59 | hqaz-merwebprd1 | En línea | Latencia: 72.0 ms
11-08-2025 10:16:00 | hqaz-merwebprd1 | En línea | Latencia: 73.0 ms
11-08-2025 10:17:01 | hqaz-merwebprd1 | En línea | Latencia: 73.0 ms
11-08-2025 10:18:02 | hqaz-merwebprd1 | En línea | Latencia: 73.0 ms
11-08-2025 10:19:03 | hqaz-merwebprd1 | En línea | Latencia: 73.0 ms
11-08-2025 10:20:04 | hqaz-merwebprd1 | En línea | Latencia: 73.0 ms
11-08-2025 10:21:05 | hqaz-merwebprd1 | En línea | Latencia: 81.0 ms
11-08-2025 10:22:06 | hqaz-merwebprd1 | En línea | Latencia: 73.0 ms
11-08-2025 10:23:07 | hqaz-merwebprd1 | En línea | Latencia: 72.0 ms
11-08-2025 10:24:07 | hqaz-merwebprd1 | En línea | Latencia: 72.0 ms
11-08-2025 10:25:08 | hqaz-merwebprd1 | En línea | Latencia: 112.0 ms
11-08-2025 10:26:09 | hqaz-merwebprd1 | En línea | Latencia: 76.0 ms
11-08-2025 10:27:10 | hqaz-merwebprd1 | En línea | Latencia: 76.0 ms
11-08-2025 10:28:11 | hqaz-merwebprd1 | En línea | Latencia: 72.0 ms
11-08-2025 10:29:12 | hqaz-merwebprd1 | En línea | Latencia: 82.0 ms
11-08-2025 10:30:13 | hqaz-merwebprd1 | En línea | Latencia: 73.0 ms
11-08-2025 10:31:14 | hqaz-merwebprd1 | En línea | Latencia: 73.0 ms
11-08-2025 10:32:15 | hqaz-merwebprd1 | En línea | Latencia: 75.0 ms
11-08-2025 10:33:16 | hqaz-merwebprd1 | En línea | Latencia: 72.0 ms
11-08-2025 10:34:17 | hqaz-merwebprd1 | En línea | Latencia: 73.0 ms
11-08-2025 10:35:17 | hqaz-merwebprd1 | En línea | Latencia: 74.0 ms
11-08-2025 10:36:18 | hqaz-merwebprd1 | En línea | Latencia: 73.0 ms
11-08-2025 10:37:35 | hqaz-merwebprd1 | En línea | Latencia: 73.0 ms
11-08-2025 10:38:36 | hqaz-merwebprd1 | En línea | Latencia: 74.0 ms
11-08-2025 10:39:37 | hqaz-merwebprd1 | En línea | Latencia: 72.0 ms
11-08-2025 10:40:38 | hqaz-merwebprd1 | En línea | Latencia: 73.0 ms
11-08-2025 10:41:38 | hqaz-merwebprd1 | En línea | Latencia: 72.0 ms
11-08-2025 10:42:39 | hqaz-merwebprd1 | En línea | Latencia: 74.0 ms
11-08-2025 10:43:40 | hqaz-merwebprd1 | En línea | Latencia: 75.0 ms
11-08-2025 10:44:41 | hqaz-merwebprd1 | En línea | Latencia: 76.0 ms
11-08-2025 10:45:42 | hqaz-merwebprd1 | En línea | Latencia: 74.0 ms
11-08-2025 10:46:43 | hqaz-merwebprd1 | En línea | Latencia: 73.0 ms
11-08-2025 10:47:44 | hqaz-merwebprd1 | En línea | Latencia: 72.0 ms
11-08-2025 10:50:28 | hqaz-merwebprd1 | En línea | Latencia: 73.0 ms
11-08-2025 10:51:29 | hqaz-merwebprd1 | En línea | Latencia: 72.0 ms
11-08-2025 10:52:30 | hqaz-merwebprd1 | En línea | Latencia: 78.0 ms
11-08-2025 10:53:31 | hqaz-merwebprd1 | En línea | Latencia: 73.0 ms
11-08-2025 11:01:04 | hqaz-merwebprd1 | En línea | Latencia: 73.0 ms
11-08-2025 11:02:05 | hqaz-merwebprd1 | En línea | Latencia: 73.0 ms
11-08-2025 11:03:05 | hqaz-merwebprd1 | En línea | Latencia: 78.0 ms
11-08-2025 11:04:06 | hqaz-merwebprd1 | En línea | Latencia: 76.0 ms
11-08-2025 11:05:07 | hqaz-merwebprd1 | En línea | Latencia: 74.0 ms
11-08-2025 11:06:08 | hqaz-merwebprd1 | En línea | Latencia: 73.0 ms
11-08-2025 11:07:09 | hqaz-merwebprd1 | En línea | Latencia: 73.0 ms
11-08-2025 11:08:10 | hqaz-merwebprd1 | En línea | Latencia: 73.0 ms
11-08-2025 11:09:26 | hqaz-merwebprd1 | En línea | Latencia: 73.0 ms
11-08-2025 11:10:27 | hqaz-merwebprd1 | En línea | Latencia: 73.0 ms
11-08-2025 11:11:28 | hqaz-merwebprd1 | En línea | Latencia: 73.0 ms
11-08-2025 11:12:29 | hqaz-merwebprd1 | En línea | Latencia: 78.0 ms
11-08-2025 11:13:30 | hqaz-merwebprd1 | En línea | Latencia: 73.0 ms
11-08-2025 11:14:31 | hqaz-merwebprd1 | En línea | Latencia: 72.0 ms
11-08-2025 11:15:32 | hqaz-merwebprd1 | En línea | Latencia: 73.0 ms
11-08-2025 11:16:33 | hqaz-merwebprd1 | En línea | Latencia: 73.0 ms
11-08-2025 11:17:34 | hqaz-merwebprd1 | En línea | Latencia: 73.0 ms
11-08-2025 11:18:35 | hqaz-merwebprd1 | En línea | Latencia: 75.0 ms
11-08-2025 11:19:35 | hqaz-merwebprd1 | En línea | Latencia: 85.0 ms
11-08-2025 11:20:36 | hqaz-merwebprd1 | En línea | Latencia: 73.0 ms
11-08-2025 11:21:37 | hqaz-merwebprd1 | En línea | Latencia: 73.0 ms
11-08-2025 11:22:38 | hqaz-merwebprd1 | En línea | Latencia: 74.0 ms
11-08-2025 11:23:39 | hqaz-merwebprd1 | En línea | Latencia: 81.0 ms
11-08-2025 11:24:40 | hqaz-merwebprd1 | En línea | Latencia: 73.0 ms
11-08-2025 11:25:41 | hqaz-merwebprd1 | En línea | Latencia: 81.0 ms
11-08-2025 11:26:42 | hqaz-merwebprd1 | En línea | Latencia: 75.0 ms
11-08-2025 11:27:43 | hqaz-merwebprd1 | En línea | Latencia: 77.0 ms
11-08-2025 11:28:44 | hqaz-merwebprd1 | En línea | Latencia: 75.0 ms
11-08-2025 11:29:44 | hqaz-merwebprd1 | En línea | Latencia: 75.0 ms
11-08-2025 11:30:45 | hqaz-merwebprd1 | En línea | Latencia: 86.0 ms
11-08-2025 11:31:46 | hqaz-merwebprd1 | En línea | Latencia: 114.0 ms
11-08-2025 11:32:47 | hqaz-merwebprd1 | En línea | Latencia: 79.0 ms
11-08-2025 11:33:48 | hqaz-merwebprd1 | En línea | Latencia: 85.0 ms
11-08-2025 11:34:49 | hqaz-merwebprd1 | En línea | Latencia: 76.0 ms
11-08-2025 11:35:50 | hqaz-merwebprd1 | En línea | Latencia: 73.0 ms
11-08-2025 11:36:51 | hqaz-merwebprd1 | En línea | Latencia: 73.0 ms
11-08-2025 11:37:52 | hqaz-merwebprd1 | En línea | Latencia: 73.0 ms
11-08-2025 11:38:53 | hqaz-merwebprd1 | En línea | Latencia: 99.0 ms
11-08-2025 11:39:54 | hqaz-merwebprd1 | En línea | Latencia: 96.0 ms
11-08-2025 11:40:55 | hqaz-merwebprd1 | En línea | Latencia: 113.0 ms
11-08-2025 11:41:56 | hqaz-merwebprd1 | En línea | Latencia: 125.0 ms
11-08-2025 11:42:57 | hqaz-merwebprd1 | En línea | Latencia: 72.0 ms
11-08-2025 11:43:58 | hqaz-merwebprd1 | En línea | Latencia: 77.0 ms
11-08-2025 11:44:58 | hqaz-merwebprd1 | En línea | Latencia: 132.0 ms
11-08-2025 11:45:59 | hqaz-merwebprd1 | En línea | Latencia: 83.0 ms
11-08-2025 11:47:00 | hqaz-merwebprd1 | En línea | Latencia: 112.0 ms
11-08-2025 11:48:01 | hqaz-merwebprd1 | En línea | Latencia: 84.0 ms
11-08-2025 11:49:02 | hqaz-merwebprd1 | En línea | Latencia: 117.0 ms
11-08-2025 11:50:04 | hqaz-merwebprd1 | En línea | Latencia: 125.0 ms
11-08-2025 11:51:05 | hqaz-merwebprd1 | En línea | Latencia: 121.0 ms
11-08-2025 11:52:06 | hqaz-merwebprd1 | En línea | Latencia: 126.0 ms
11-08-2025 11:53:07 | hqaz-merwebprd1 | En línea | Latencia: 134.0 ms
11-08-2025 11:54:08 | hqaz-merwebprd1 | En línea | Latencia: 137.0 ms
11-08-2025 11:55:09 | hqaz-merwebprd1 | En línea | Latencia: 109.0 ms
11-08-2025 11:56:11 | hqaz-merwebprd1 | En línea | Latencia: 125.0 ms
11-08-2025 11:57:12 | hqaz-merwebprd1 | En línea | Latencia: 76.0 ms
11-08-2025 11:58:13 | hqaz-merwebprd1 | En línea | Latencia: 119.0 ms
11-08-2025 11:59:14 | hqaz-merwebprd1 | En línea | Latencia: 126.0 ms
11-08-2025 12:00:15 | hqaz-merwebprd1 | En línea | Latencia: 126.0 ms
11-08-2025 12:01:16 | hqaz-merwebprd1 | En línea | Latencia: 130.0 ms
11-08-2025 12:02:17 | hqaz-merwebprd1 | En línea | Latencia: 135.0 ms
11-08-2025 12:03:18 | hqaz-merwebprd1 | En línea | Latencia: 121.0 ms
11-08-2025 12:04:19 | hqaz-merwebprd1 | En línea | Latencia: 130.0 ms
11-08-2025 12:05:20 | hqaz-merwebprd1 | En línea | Latencia: 136.0 ms
11-08-2025 12:06:21 | hqaz-merwebprd1 | En línea | Latencia: 138.0 ms
11-08-2025 12:07:22 | hqaz-merwebprd1 | En línea | Latencia: 128.0 ms
11-08-2025 12:08:23 | hqaz-merwebprd1 | En línea | Latencia: 142.0 ms
11-08-2025 12:09:24 | hqaz-merwebprd1 | En línea | Latencia: 138.0 ms
11-08-2025 12:10:25 | hqaz-merwebprd1 | En línea | Latencia: 98.0 ms
11-08-2025 12:11:26 | hqaz-merwebprd1 | En línea | Latencia: 132.0 ms
11-08-2025 12:12:27 | hqaz-merwebprd1 | En línea | Latencia: 136.0 ms
11-08-2025 12:13:28 | hqaz-merwebprd1 | En línea | Latencia: 132.0 ms
11-08-2025 12:14:29 | hqaz-merwebprd1 | En línea | Latencia: 136.0 ms
11-08-2025 12:15:30 | hqaz-merwebprd1 | En línea | Latencia: 136.0 ms
11-08-2025 12:16:31 | hqaz-merwebprd1 | En línea | Latencia: 137.0 ms
11-08-2025 12:17:33 | hqaz-merwebprd1 | En línea | Latencia: 134.0 ms
11-08-2025 12:18:34 | hqaz-merwebprd1 | En línea | Latencia: 136.0 ms
11-08-2025 12:19:50 | hqaz-merwebprd1 | En línea | Latencia: 143.0 ms
11-08-2025 12:20:51 | hqaz-merwebprd1 | En línea | Latencia: 139.0 ms
11-08-2025 12:21:52 | hqaz-merwebprd1 | En línea | Latencia: 133.0 ms
11-08-2025 12:22:53 | hqaz-merwebprd1 | En línea | Latencia: 138.0 ms
11-08-2025 12:23:55 | hqaz-merwebprd1 | En línea | Latencia: 140.0 ms
11-08-2025 12:24:56 | hqaz-merwebprd1 | En línea | Latencia: 140.0 ms
11-08-2025 12:25:57 | hqaz-merwebprd1 | En línea | Latencia: 138.0 ms
11-08-2025 12:27:13 | hqaz-merwebprd1 | En línea | Latencia: 132.0 ms
11-08-2025 12:28:14 | hqaz-merwebprd1 | En línea | Latencia: 138.0 ms
11-08-2025 12:29:15 | hqaz-merwebprd1 | En línea | Latencia: 136.0 ms
11-08-2025 12:30:17 | hqaz-merwebprd1 | En línea | Latencia: 136.0 ms
11-08-2025 12:31:18 | hqaz-merwebprd1 | Sin conexión | Latencia: N/D ms
11-08-2025 12:31:27 | hqaz-merwebprd1 | Recuperado tras intento 1
11-08-2025 12:32:27 | hqaz-merwebprd1 | En línea | Latencia: 137.0 ms
11-08-2025 12:56:12 | hqaz-merwebprd1 | En línea | Latencia: 131.0 ms
11-08-2025 12:57:13 | hqaz-merwebprd1 | En línea | Latencia: 135.0 ms
11-08-2025 12:58:14 | hqaz-merwebprd1 | Sin conexión | Latencia: N/D ms
11-08-2025 12:58:23 | hqaz-merwebprd1 | Recuperado tras intento 1
11-08-2025 12:59:24 | hqaz-merwebprd1 | En línea | Latencia: 141.0 ms
11-08-2025 13:00:32 | hqaz-merwebprd1 | En línea | Latencia: 142.0 ms
11-08-2025 13:01:33 | hqaz-merwebprd1 | En línea | Latencia: 138.0 ms
11-08-2025 13:02:34 | hqaz-merwebprd1 | En línea | Latencia: 137.0 ms
11-08-2025 13:03:36 | hqaz-merwebprd1 | En línea | Latencia: 141.0 ms
11-08-2025 13:04:37 | hqaz-merwebprd1 | En línea | Latencia: 132.0 ms
11-08-2025 13:05:47 | hqaz-merwebprd1 | En línea | Latencia: 155.0 ms
11-08-2025 13:07:06 | hqaz-merwebprd1 | En línea | Latencia: 146.0 ms
11-08-2025 13:08:05 | hqaz-merwebprd1 | En línea | Latencia: 143.0 ms
11-08-2025 13:09:06 | hqaz-merwebprd1 | En línea | Latencia: 139.0 ms
11-08-2025 13:11:52 | hqaz-merwebprd1 | En línea | Latencia: 126.0 ms
11-08-2025 13:12:54 | hqaz-merwebprd1 | En línea | Latencia: 137.0 ms
11-08-2025 13:13:55 | hqaz-merwebprd1 | En línea | Latencia: 138.0 ms
11-08-2025 13:14:56 | hqaz-merwebprd1 | Sin conexión | Latencia: N/D ms
11-08-2025 13:15:05 | hqaz-merwebprd1 | Recuperado tras intento 1
11-08-2025 13:16:05 | hqaz-merwebprd1 | En línea | Latencia: 154.0 ms
11-08-2025 13:17:36 | hqaz-merwebprd1 | En línea | Latencia: 137.0 ms
11-08-2025 13:20:49 | hqaz-merwebprd1 | En línea | Latencia: 140.0 ms
11-08-2025 13:21:50 | hqaz-merwebprd1 | En línea | Latencia: 137.0 ms
11-08-2025 13:22:51 | hqaz-merwebprd1 | Sin conexión | Latencia: N/D ms
11-08-2025 13:23:00 | hqaz-merwebprd1 | Recuperado tras intento 1
11-08-2025 13:24:01 | hqaz-merwebprd1 | En línea | Latencia: 140.0 ms
11-08-2025 13:25:33 | hqaz-merwebprd1 | En línea | Latencia: 140.0 ms
11-08-2025 13:26:34 | hqaz-merwebprd1 | En línea | Latencia: 138.0 ms
11-08-2025 13:27:50 | hqaz-merwebprd1 | En línea | Latencia: 139.0 ms
11-08-2025 13:28:52 | hqaz-merwebprd1 | En línea | Latencia: 133.0 ms
11-08-2025 13:29:53 | hqaz-merwebprd1 | En línea | Latencia: 129.0 ms
11-08-2025 13:31:02 | hqaz-merwebprd1 | En línea | Latencia: 140.0 ms
11-08-2025 13:32:42 | hqaz-merwebprd1 | En línea | Latencia: 140.0 ms
11-08-2025 13:33:43 | hqaz-merwebprd1 | En línea | Latencia: 124.0 ms
11-08-2025 13:34:44 | hqaz-merwebprd1 | En línea | Latencia: 138.0 ms
11-08-2025 13:35:45 | hqaz-merwebprd1 | En línea | Latencia: 138.0 ms
11-08-2025 13:36:46 | hqaz-merwebprd1 | En línea | Latencia: 141.0 ms
11-08-2025 13:37:47 | hqaz-merwebprd1 | En línea | Latencia: 139.0 ms
11-08-2025 13:38:48 | hqaz-merwebprd1 | En línea | Latencia: 137.0 ms
11-08-2025 13:39:49 | hqaz-merwebprd1 | En línea | Latencia: 141.0 ms
11-08-2025 13:40:51 | hqaz-merwebprd1 | En línea | Latencia: 136.0 ms
11-08-2025 13:41:52 | hqaz-merwebprd1 | En línea | Latencia: 141.0 ms
11-08-2025 13:42:53 | hqaz-merwebprd1 | En línea | Latencia: 144.0 ms
11-08-2025 13:43:54 | hqaz-merwebprd1 | En línea | Latencia: 150.0 ms
11-08-2025 13:44:55 | hqaz-merwebprd1 | En línea | Latencia: 136.0 ms
11-08-2025 13:46:04 | hqaz-merwebprd1 | En línea | Latencia: 141.0 ms
11-08-2025 13:47:05 | hqaz-merwebprd1 | En línea | Latencia: 137.0 ms
11-08-2025 13:48:06 | hqaz-merwebprd1 | En línea | Latencia: 143.0 ms
11-08-2025 13:49:07 | hqaz-merwebprd1 | En línea | Latencia: 142.0 ms
11-08-2025 13:50:08 | hqaz-merwebprd1 | En línea | Latencia: 138.0 ms
11-08-2025 13:51:09 | hqaz-merwebprd1 | En línea | Latencia: 141.0 ms
11-08-2025 13:53:08 | hqaz-merwebprd1 | En línea | Latencia: 142.0 ms
11-08-2025 13:54:10 | hqaz-merwebprd1 | En línea | Latencia: 152.0 ms
11-08-2025 13:55:26 | hqaz-merwebprd1 | En línea | Latencia: 136.0 ms
11-08-2025 13:56:27 | hqaz-merwebprd1 | En línea | Latencia: 138.0 ms
11-08-2025 13:57:28 | hqaz-merwebprd1 | En línea | Latencia: 140.0 ms
11-08-2025 13:58:30 | hqaz-merwebprd1 | En línea | Latencia: 144.0 ms
11-08-2025 13:59:31 | hqaz-merwebprd1 | En línea | Latencia: 140.0 ms
11-08-2025 14:00:32 | hqaz-merwebprd1 | En línea | Latencia: 142.0 ms
11-08-2025 14:00:51 | hqaz-merwebprd1 | En línea | Latencia: 140.0 ms
11-08-2025 14:01:52 | hqaz-merwebprd1 | En línea | Latencia: 160.0 ms
11-08-2025 14:03:21 | hqaz-merwebprd1 | En línea | Latencia: 144.0 ms
11-08-2025 14:05:00 | hqaz-merwebprd1 | En línea | Latencia: 142.0 ms
11-08-2025 14:06:17 | hqaz-merwebprd1 | En línea | Latencia: 140.0 ms
11-08-2025 14:07:18 | hqaz-merwebprd1 | En línea | Latencia: 141.0 ms
11-08-2025 14:08:28 | hqaz-merwebprd1 | En línea | Latencia: 140.0 ms
11-08-2025 14:10:04 | hqaz-merwebprd1 | En línea | Latencia: 142.0 ms
11-08-2025 14:11:05 | hqaz-merwebprd1 | En línea | Latencia: 142.0 ms
11-08-2025 14:12:06 | hqaz-merwebprd1 | En línea | Latencia: 145.0 ms
11-08-2025 14:13:23 | hqaz-merwebprd1 | En línea | Latencia: 143.0 ms
11-08-2025 14:14:24 | hqaz-merwebprd1 | En línea | Latencia: 143.0 ms
11-08-2025 14:15:25 | hqaz-merwebprd1 | En línea | Latencia: 139.0 ms
11-08-2025 14:16:27 | hqaz-merwebprd1 | En línea | Latencia: 145.0 ms
11-08-2025 14:17:28 | hqaz-merwebprd1 | En línea | Latencia: 144.0 ms
11-08-2025 14:18:29 | hqaz-merwebprd1 | En línea | Latencia: 142.0 ms
11-08-2025 14:19:30 | hqaz-merwebprd1 | En línea | Latencia: 141.0 ms
11-08-2025 14:20:31 | hqaz-merwebprd1 | En línea | Latencia: 145.0 ms
11-08-2025 14:21:52 | hqaz-merwebprd1 | En línea | Latencia: 142.0 ms
11-08-2025 14:22:53 | hqaz-merwebprd1 | En línea | Latencia: 141.0 ms
11-08-2025 14:23:54 | hqaz-merwebprd1 | En línea | Latencia: 143.0 ms
11-08-2025 14:24:55 | hqaz-merwebprd1 | En línea | Latencia: 143.0 ms
11-08-2025 14:25:56 | hqaz-merwebprd1 | En línea | Latencia: 145.0 ms
11-08-2025 14:26:58 | hqaz-merwebprd1 | En línea | Latencia: 141.0 ms
11-08-2025 14:27:59 | hqaz-merwebprd1 | En línea | Latencia: 143.0 ms
11-08-2025 14:29:00 | hqaz-merwebprd1 | En línea | Latencia: 140.0 ms
11-08-2025 14:30:01 | hqaz-merwebprd1 | En línea | Latencia: 143.0 ms
11-08-2025 14:31:02 | hqaz-merwebprd1 | En línea | Latencia: 141.0 ms
11-08-2025 14:32:03 | hqaz-merwebprd1 | En línea | Latencia: 141.0 ms
11-08-2025 14:33:05 | hqaz-merwebprd1 | En línea | Latencia: 142.0 ms
11-08-2025 14:34:06 | hqaz-merwebprd1 | En línea | Latencia: 145.0 ms
11-08-2025 14:35:07 | hqaz-merwebprd1 | En línea | Latencia: 142.0 ms
